hr,datetime,activity
103.5,2024-01-01 00:00:00,0
87.33,2024-01-01 00:00:01,0
86.75,2024-01-01 00:00:02,0
82.4,2024-01-01 00:00:03,0
79.5,2024-01-01 00:00:04,0
77.43,2024-01-01 00:00:05,0
75.75,2024-01-01 00:00:06,0
74.33,2024-01-01 00:00:07,0
73.1,2024-01-01 00:00:08,0
72.09,2024-01-01 00:00:09,0
71.25,2024-01-01 00:00:10,0
70.62,2024-01-01 00:00:11,0
70.14,2024-01-01 00:00:12,0
69.8,2024-01-01 00:00:13,0
69.56,2024-01-01 00:00:14,0
69.35,2024-01-01 00:00:15,0
69.11,2024-01-01 00:00:16,0
68.89,2024-01-01 00:00:17,0
68.7,2024-01-01 00:00:18,0
68.48,2024-01-01 00:00:19,0
68.27,2024-01-01 00:00:20,0
68.09,2024-01-01 00:00:21,0
67.88,2024-01-01 00:00:22,0
67.68,2024-01-01 00:00:23,0
67.5,2024-01-01 00:00:24,0
67.37,2024-01-01 00:00:25,0
67.25,2024-01-01 00:00:26,0
67.14,2024-01-01 00:00:27,0
67.07,2024-01-01 00:00:28,0
67.0,2024-01-01 00:00:29,0
66.97,2024-01-01 00:00:30,0
66.94,2024-01-01 00:00:31,0
66.91,2024-01-01 00:00:32,0
66.89,2024-01-01 00:00:33,0
66.83,2024-01-01 00:00:34,0
66.76,2024-01-01 00:00:35,0
66.68,2024-01-01 00:00:36,0
66.59,2024-01-01 00:00:37,0
66.5,2024-01-01 00:00:38,0
66.41,2024-01-01 00:00:39,0
66.33,2024-01-01 00:00:40,0
66.26,2024-01-01 00:00:41,0
66.2,2024-01-01 00:00:42,0
66.16,2024-01-01 00:00:43,0
66.13,2024-01-01 00:00:44,0
66.13,2024-01-01 00:00:45,0
66.12,2024-01-01 00:00:46,0
66.12,2024-01-01 00:00:47,0
66.12,2024-01-01 00:00:48,0
66.12,2024-01-01 00:00:49,0
66.13,2024-01-01 00:00:50,0
66.15,2024-01-01 00:00:51,0
66.17,2024-01-01 00:00:52,0
66.18,2024-01-01 00:00:53,0
66.2,2024-01-01 00:00:54,0
66.21,2024-01-01 00:00:55,0
66.24,2024-01-01 00:00:56,0
66.27,2024-01-01 00:00:57,0
66.3,2024-01-01 00:00:58,0
65.6,2024-01-01 00:00:59,0
65.08,2024-01-01 00:01:00,0
65.28,2024-01-01 00:01:01,0
64.97,2024-01-01 00:01:02,0
64.98,2024-01-01 00:01:03,0
64.98,2024-01-01 00:01:04,0
64.98,2024-01-01 00:01:05,0
65.0,2024-01-01 00:01:06,0
65.03,2024-01-01 00:01:07,0
65.08,2024-01-01 00:01:08,0
65.13,2024-01-01 00:01:09,0
65.18,2024-01-01 00:01:10,0
65.22,2024-01-01 00:01:11,0
65.23,2024-01-01 00:01:12,0
65.23,2024-01-01 00:01:13,0
65.2,2024-01-01 00:01:14,0
65.17,2024-01-01 00:01:15,0
65.15,2024-01-01 00:01:16,0
65.13,2024-01-01 00:01:17,0
65.13,2024-01-01 00:01:18,0
65.15,2024-01-01 00:01:19,0
65.18,2024-01-01 00:01:20,0
65.23,2024-01-01 00:01:21,0
65.3,2024-01-01 00:01:22,0
65.37,2024-01-01 00:01:23,0
65.42,2024-01-01 00:01:24,0
65.43,2024-01-01 00:01:25,0
65.43,2024-01-01 00:01:26,0
65.42,2024-01-01 00:01:27,0
65.37,2024-01-01 00:01:28,0
65.32,2024-01-01 00:01:29,0
65.25,2024-01-01 00:01:30,0
65.2,2024-01-01 00:01:31,0
65.15,2024-01-01 00:01:32,0
65.07,2024-01-01 00:01:33,0
64.98,2024-01-01 00:01:34,0
64.92,2024-01-01 00:01:35,0
64.85,2024-01-01 00:01:36,0
64.83,2024-01-01 00:01:37,0
64.83,2024-01-01 00:01:38,0
64.87,2024-01-01 00:01:39,0
64.92,2024-01-01 00:01:40,0
64.97,2024-01-01 00:01:41,0
65.0,2024-01-01 00:01:42,0
65.02,2024-01-01 00:01:43,0
65.02,2024-01-01 00:01:44,0
65.0,2024-01-01 00:01:45,0
64.97,2024-01-01 00:01:46,0
64.93,2024-01-01 00:01:47,0
64.88,2024-01-01 00:01:48,0
64.83,2024-01-01 00:01:49,0
64.75,2024-01-01 00:01:50,0
64.68,2024-01-01 00:01:51,0
64.62,2024-01-01 00:01:52,0
64.57,2024-01-01 00:01:53,0
64.52,2024-01-01 00:01:54,0
64.48,2024-01-01 00:01:55,0
64.43,2024-01-01 00:01:56,0
64.38,2024-01-01 00:01:57,0
64.33,2024-01-01 00:01:58,0
64.3,2024-01-01 00:01:59,0
64.27,2024-01-01 00:02:00,0
64.23,2024-01-01 00:02:01,0
