hr,datetime,activity
52.0,2024-01-01 00:00:00,0
71.0,2024-01-01 00:00:01,0
80.5,2024-01-01 00:00:02,0
74.8,2024-01-01 00:00:03,0
71.67,2024-01-01 00:00:04,0
69.43,2024-01-01 00:00:05,0
67.5,2024-01-01 00:00:06,0
66.33,2024-01-01 00:00:07,0
65.4,2024-01-01 00:00:08,0
67.91,2024-01-01 00:00:09,0
70.0,2024-01-01 00:00:10,0
71.85,2024-01-01 00:00:11,0
73.5,2024-01-01 00:00:12,0
74.93,2024-01-01 00:00:13,0
76.25,2024-01-01 00:00:14,0
77.35,2024-01-01 00:00:15,0
78.33,2024-01-01 00:00:16,0
79.16,2024-01-01 00:00:17,0
79.85,2024-01-01 00:00:18,0
80.43,2024-01-01 00:00:19,0
80.95,2024-01-01 00:00:20,0
81.43,2024-01-01 00:00:21,0
81.88,2024-01-01 00:00:22,0
82.32,2024-01-01 00:00:23,0
82.73,2024-01-01 00:00:24,0
83.07,2024-01-01 00:00:25,0
83.39,2024-01-01 00:00:26,0
83.69,2024-01-01 00:00:27,0
83.97,2024-01-01 00:00:28,0
84.23,2024-01-01 00:00:29,0
84.47,2024-01-01 00:00:30,0
84.73,2024-01-01 00:00:31,0
84.97,2024-01-01 00:00:32,0
85.29,2024-01-01 00:00:33,0
85.58,2024-01-01 00:00:34,0
85.89,2024-01-01 00:00:35,0
86.21,2024-01-01 00:00:36,0
86.54,2024-01-01 00:00:37,0
86.9,2024-01-01 00:00:38,0
87.27,2024-01-01 00:00:39,0
87.64,2024-01-01 00:00:40,0
88.02,2024-01-01 00:00:41,0
88.41,2024-01-01 00:00:42,0
88.78,2024-01-01 00:00:43,0
89.13,2024-01-01 00:00:44,0
89.47,2024-01-01 00:00:45,0
89.79,2024-01-01 00:00:46,0
90.08,2024-01-01 00:00:47,0
90.34,2024-01-01 00:00:48,0
90.57,2024-01-01 00:00:49,0
90.77,2024-01-01 00:00:50,0
90.94,2024-01-01 00:00:51,0
91.07,2024-01-01 00:00:52,0
91.18,2024-01-01 00:00:53,0
91.25,2024-01-01 00:00:54,0
91.3,2024-01-01 00:00:55,0
91.33,2024-01-01 00:00:56,0
91.36,2024-01-01 00:00:57,0
91.37,2024-01-01 00:00:58,0
92.03,2024-01-01 00:00:59,0
92.7,2024-01-01 00:01:00,0
92.42,2024-01-01 00:01:01,0
92.17,2024-01-01 00:01:02,0
92.82,2024-01-01 00:01:03,0
93.42,2024-01-01 00:01:04,0
93.98,2024-01-01 00:01:05,0
94.58,2024-01-01 00:01:06,0
95.13,2024-01-01 00:01:07,0
95.67,2024-01-01 00:01:08,0
95.6,2024-01-01 00:01:09,0
95.48,2024-01-01 00:01:10,0
95.28,2024-01-01 00:01:11,0
95.17,2024-01-01 00:01:12,0
95.07,2024-01-01 00:01:13,0
94.92,2024-01-01 00:01:14,0
94.77,2024-01-01 00:01:15,0
94.63,2024-01-01 00:01:16,0
94.53,2024-01-01 00:01:17,0
94.53,2024-01-01 00:01:18,0
94.47,2024-01-01 00:01:19,0
94.4,2024-01-01 00:01:20,0
94.33,2024-01-01 00:01:21,0
94.27,2024-01-01 00:01:22,0
94.18,2024-01-01 00:01:23,0
94.08,2024-01-01 00:01:24,0
94.03,2024-01-01 00:01:25,1
94.0,2024-01-01 00:01:26,1
93.97,2024-01-01 00:01:27,1
93.93,2024-01-01 00:01:28,1
93.9,2024-01-01 00:01:29,1
93.93,2024-01-01 00:01:30,1
93.9,2024-01-01 00:01:31,1
93.87,2024-01-01 00:01:32,1
94.0,2024-01-01 00:01:33,1
94.37,2024-01-01 00:01:34,1
94.73,2024-01-01 00:01:35,1
95.1,2024-01-01 00:01:36,1
95.45,2024-01-01 00:01:37,1
95.78,2024-01-01 00:01:38,1
96.12,2024-01-01 00:01:39,1
96.43,2024-01-01 00:01:40,1
96.73,2024-01-01 00:01:41,1
97.02,2024-01-01 00:01:42,1
97.28,2024-01-01 00:01:43,1
97.57,2024-01-01 00:01:44,1
97.85,2024-01-01 00:01:45,1
98.1,2024-01-01 00:01:46,1
98.4,2024-01-01 00:01:47,1
98.7,2024-01-01 00:01:48,1
98.63,2024-01-01 00:01:49,1
98.18,2024-01-01 00:01:50,1
97.75,2024-01-01 00:01:51,1
97.33,2024-01-01 00:01:52,1
96.92,2024-01-01 00:01:53,1
96.57,2024-01-01 00:01:54,1
96.25,2024-01-01 00:01:55,1
95.95,2024-01-01 00:01:56,1
95.63,2024-01-01 00:01:57,1
95.35,2024-01-01 00:01:58,1
95.07,2024-01-01 00:01:59,1
94.78,2024-01-01 00:02:00,1
94.5,2024-01-01 00:02:01,1
94.08,2024-01-01 00:02:02,1
93.7,2024-01-01 00:02:03,1
93.35,2024-01-01 00:02:04,1
93.13,2024-01-01 00:02:05,1
92.92,2024-01-01 00:02:06,1
92.85,2024-01-01 00:02:07,1
93.13,2024-01-01 00:02:08,1
93.4,2024-01-01 00:02:09,1
93.73,2024-01-01 00:02:10,1
94.17,2024-01-01 00:02:11,1
94.53,2024-01-01 00:02:12,1
94.9,2024-01-01 00:02:13,1
95.3,2024-01-01 00:02:14,1
95.77,2024-01-01 00:02:15,1
96.32,2024-01-01 00:02:16,1
96.85,2024-01-01 00:02:17,1
97.3,2024-01-01 00:02:18,1
97.82,2024-01-01 00:02:19,1
98.33,2024-01-01 00:02:20,1
98.85,2024-01-01 00:02:21,1
99.37,2024-01-01 00:02:22,1
99.88,2024-01-01 00:02:23,1
100.4,2024-01-01 00:02:24,1
100.88,2024-01-01 00:02:25,1
101.38,2024-01-01 00:02:26,1
101.88,2024-01-01 00:02:27,1
102.37,2024-01-01 00:02:28,1
102.83,2024-01-01 00:02:29,1
103.22,2024-01-01 00:02:30,1
103.63,2024-01-01 00:02:31,1
104.12,2024-01-01 00:02:32,1
104.38,2024-01-01 00:02:33,1
104.42,2024-01-01 00:02:34,1
104.38,2024-01-01 00:02:35,1
104.33,2024-01-01 00:02:36,1
104.28,2024-01-01 00:02:37,1
104.27,2024-01-01 00:02:38,1
104.3,2024-01-01 00:02:39,1
104.27,2024-01-01 00:02:40,1
104.18,2024-01-01 00:02:41,1
104.07,2024-01-01 00:02:42,1
103.92,2024-01-01 00:02:43,1
103.47,2024-01-01 00:02:44,1
103.0,2024-01-01 00:02:45,1
102.57,2024-01-01 00:02:46,1
102.08,2024-01-01 00:02:47,1
101.6,2024-01-01 00:02:48,1
101.48,2024-01-01 00:02:49,1
101.75,2024-01-01 00:02:50,1
102.02,2024-01-01 00:02:51,1
102.3,2024-01-01 00:02:52,1
102.58,2024-01-01 00:02:53,1
102.85,2024-01-01 00:02:54,1
103.1,2024-01-01 00:02:55,1
103.37,2024-01-01 00:02:56,1
103.68,2024-01-01 00:02:57,1
104.0,2024-01-01 00:02:58,1
104.32,2024-01-01 00:02:59,1
104.62,2024-01-01 00:03:00,1
104.9,2024-01-01 00:03:01,1
105.25,2024-01-01 00:03:02,1
105.53,2024-01-01 00:03:03,1
105.78,2024-01-01 00:03:04,1
105.95,2024-01-01 00:03:05,1
106.1,2024-01-01 00:03:06,1
106.08,2024-01-01 00:03:07,1
105.73,2024-01-01 00:03:08,1
105.4,2024-01-01 00:03:09,1
105.03,2024-01-01 00:03:10,1
104.63,2024-01-01 00:03:11,1
104.2,2024-01-01 00:03:12,1
103.75,2024-01-01 00:03:13,1
103.32,2024-01-01 00:03:14,1
102.83,2024-01-01 00:03:15,1
102.27,2024-01-01 00:03:16,1
101.7,2024-01-01 00:03:17,1
101.13,2024-01-01 00:03:18,1
100.58,2024-01-01 00:03:19,1
100.03,2024-01-01 00:03:20,1
99.48,2024-01-01 00:03:21,1
98.92,2024-01-01 00:03:22,1
98.35,2024-01-01 00:03:23,1
97.82,2024-01-01 00:03:24,1
97.28,2024-01-01 00:03:25,1
96.72,2024-01-01 00:03:26,1
96.15,2024-01-01 00:03:27,1
95.6,2024-01-01 00:03:28,1
95.07,2024-01-01 00:03:29,1
94.55,2024-01-01 00:03:30,1
94.05,2024-01-01 00:03:31,1
93.47,2024-01-01 00:03:32,1
92.88,2024-01-01 00:03:33,1
92.3,2024-01-01 00:03:34,1
91.75,2024-01-01 00:03:35,1
91.2,2024-01-01 00:03:36,1
90.65,2024-01-01 00:03:37,1
90.05,2024-01-01 00:03:38,1
89.38,2024-01-01 00:03:39,1
88.77,2024-01-01 00:03:40,1
88.2,2024-01-01 00:03:41,1
87.67,2024-01-01 00:03:42,1
87.18,2024-01-01 00:03:43,1
86.98,2024-01-01 00:03:44,1
86.78,2024-01-01 00:03:45,1
86.58,2024-01-01 00:03:46,1
86.4,2024-01-01 00:03:47,1
86.25,2024-01-01 00:03:48,1
86.12,2024-01-01 00:03:49,1
86.02,2024-01-01 00:03:50,1
85.93,2024-01-01 00:03:51,1
85.87,2024-01-01 00:03:52,1
85.83,2024-01-01 00:03:53,1
85.82,2024-01-01 00:03:54,1
85.82,2024-01-01 00:03:55,1
85.82,2024-01-01 00:03:56,1
85.8,2024-01-01 00:03:57,1
85.77,2024-01-01 00:03:58,1
85.72,2024-01-01 00:03:59,1
85.68,2024-01-01 00:04:00,1
85.65,2024-01-01 00:04:01,1
85.65,2024-01-01 00:04:02,1
85.73,2024-01-01 00:04:03,1
85.78,2024-01-01 00:04:04,1
85.8,2024-01-01 00:04:05,1
85.83,2024-01-01 00:04:06,1
85.87,2024-01-01 00:04:07,1
85.9,2024-01-01 00:04:08,1
85.93,2024-01-01 00:04:09,1
86.0,2024-01-01 00:04:10,1
86.08,2024-01-01 00:04:11,1
86.22,2024-01-01 00:04:12,1
86.37,2024-01-01 00:04:13,1
86.52,2024-01-01 00:04:14,1
86.67,2024-01-01 00:04:15,1
86.82,2024-01-01 00:04:16,1
86.95,2024-01-01 00:04:17,1
87.07,2024-01-01 00:04:18,1
87.17,2024-01-01 00:04:19,1
87.27,2024-01-01 00:04:20,1
87.35,2024-01-01 00:04:21,1
87.43,2024-01-01 00:04:22,1
87.5,2024-01-01 00:04:23,1
87.53,2024-01-01 00:04:24,1
87.55,2024-01-01 00:04:25,1
87.57,2024-01-01 00:04:26,1
87.58,2024-01-01 00:04:27,1
87.62,2024-01-01 00:04:28,1
87.65,2024-01-01 00:04:29,1
87.68,2024-01-01 00:04:30,1
87.72,2024-01-01 00:04:31,1
87.77,2024-01-01 00:04:32,1
87.8,2024-01-01 00:04:33,1
87.83,2024-01-01 00:04:34,1
87.87,2024-01-01 00:04:35,1
87.9,2024-01-01 00:04:36,1
87.93,2024-01-01 00:04:37,1
87.98,2024-01-01 00:04:38,1
88.03,2024-01-01 00:04:39,1
88.12,2024-01-01 00:04:40,1
88.2,2024-01-01 00:04:41,1
88.28,2024-01-01 00:04:42,1
88.35,2024-01-01 00:04:43,1
88.42,2024-01-01 00:04:44,1
88.5,2024-01-01 00:04:45,1
88.58,2024-01-01 00:04:46,1
88.65,2024-01-01 00:04:47,1
88.7,2024-01-01 00:04:48,1
88.75,2024-01-01 00:04:49,1
88.78,2024-01-01 00:04:50,1
88.8,2024-01-01 00:04:51,1
88.78,2024-01-01 00:04:52,1
88.75,2024-01-01 00:04:53,1
88.68,2024-01-01 00:04:54,1
88.62,2024-01-01 00:04:55,1
88.55,2024-01-01 00:04:56,1
88.47,2024-01-01 00:04:57,1
88.4,2024-01-01 00:04:58,1
88.35,2024-01-01 00:04:59,1
88.32,2024-01-01 00:05:00,1
88.28,2024-01-01 00:05:01,1
88.27,2024-01-01 00:05:02,1
88.25,2024-01-01 00:05:03,1
88.23,2024-01-01 00:05:04,1
88.22,2024-01-01 00:05:05,1
88.2,2024-01-01 00:05:06,1
88.2,2024-01-01 00:05:07,1
88.2,2024-01-01 00:05:08,1
88.2,2024-01-01 00:05:09,1
88.2,2024-01-01 00:05:10,1
88.18,2024-01-01 00:05:11,1
88.13,2024-01-01 00:05:12,1
88.08,2024-01-01 00:05:13,1
88.03,2024-01-01 00:05:14,1
88.0,2024-01-01 00:05:15,1
87.97,2024-01-01 00:05:16,1
87.97,2024-01-01 00:05:17,1
87.98,2024-01-01 00:05:18,1
88.02,2024-01-01 00:05:19,1
88.05,2024-01-01 00:05:20,1
88.08,2024-01-01 00:05:21,1
88.13,2024-01-01 00:05:22,1
88.18,2024-01-01 00:05:23,1
88.25,2024-01-01 00:05:24,1
88.35,2024-01-01 00:05:25,1
88.45,2024-01-01 00:05:26,1
88.58,2024-01-01 00:05:27,1
88.72,2024-01-01 00:05:28,1
88.88,2024-01-01 00:05:29,1
89.08,2024-01-01 00:05:30,1
89.28,2024-01-01 00:05:31,1
89.5,2024-01-01 00:05:32,1
89.75,2024-01-01 00:05:33,1
89.98,2024-01-01 00:05:34,1
90.23,2024-01-01 00:05:35,1
