hr,datetime,activity
75.5,2024-01-01 00:00:00,0
70.0,2024-01-01 00:00:01,0
67.5,2024-01-01 00:00:02,0
65.8,2024-01-01 00:00:03,0
68.67,2024-01-01 00:00:04,0
69.71,2024-01-01 00:00:05,0
68.88,2024-01-01 00:00:06,0
68.22,2024-01-01 00:00:07,0
67.7,2024-01-01 00:00:08,0
67.27,2024-01-01 00:00:09,0
67.0,2024-01-01 00:00:10,0
66.92,2024-01-01 00:00:11,0
67.0,2024-01-01 00:00:12,0
67.33,2024-01-01 00:00:13,0
67.81,2024-01-01 00:00:14,0
68.29,2024-01-01 00:00:15,0
68.5,2024-01-01 00:00:16,0
68.58,2024-01-01 00:00:17,0
68.6,2024-01-01 00:00:18,0
67.81,2024-01-01 00:00:19,0
67.09,2024-01-01 00:00:20,0
66.48,2024-01-01 00:00:21,0
65.96,2024-01-01 00:00:22,0
65.52,2024-01-01 00:00:23,0
65.15,2024-01-01 00:00:24,0
64.74,2024-01-01 00:00:25,0
64.36,2024-01-01 00:00:26,0
63.97,2024-01-01 00:00:27,0
63.57,2024-01-01 00:00:28,0
63.13,2024-01-01 00:00:29,0
62.75,2024-01-01 00:00:30,0
62.42,2024-01-01 00:00:31,0
62.12,2024-01-01 00:00:32,0
61.83,2024-01-01 00:00:33,0
61.58,2024-01-01 00:00:34,0
61.35,2024-01-01 00:00:35,0
61.16,2024-01-01 00:00:36,0
61.1,2024-01-01 00:00:37,0
61.05,2024-01-01 00:00:38,0
60.95,2024-01-01 00:00:39,0
60.81,2024-01-01 00:00:40,0
60.7,2024-01-01 00:00:41,0
60.64,2024-01-01 00:00:42,0
60.6,2024-01-01 00:00:43,0
60.59,2024-01-01 00:00:44,0
60.6,2024-01-01 00:00:45,0
60.62,2024-01-01 00:00:46,0
60.65,2024-01-01 00:00:47,0
60.66,2024-01-01 00:00:48,0
60.65,2024-01-01 00:00:49,0
60.65,2024-01-01 00:00:50,0
60.62,2024-01-01 00:00:51,0
60.63,2024-01-01 00:00:52,0
60.64,2024-01-01 00:00:53,0
60.66,2024-01-01 00:00:54,1
60.68,2024-01-01 00:00:55,1
60.69,2024-01-01 00:00:56,1
60.68,2024-01-01 00:00:57,1
60.63,2024-01-01 00:00:58,1
59.92,2024-01-01 00:00:59,1
