hr,datetime,activity
61.0,2024-01-01 00:00:00,0
60.0,2024-01-01 00:00:01,0
59.5,2024-01-01 00:00:02,0
59.4,2024-01-01 00:00:03,0
59.5,2024-01-01 00:00:04,0
59.57,2024-01-01 00:00:05,0
59.5,2024-01-01 00:00:06,0
59.33,2024-01-01 00:00:07,0
59.2,2024-01-01 00:00:08,0
59.09,2024-01-01 00:00:09,0
59.0,2024-01-01 00:00:10,0
59.0,2024-01-01 00:00:11,0
59.0,2024-01-01 00:00:12,0
59.07,2024-01-01 00:00:13,0
59.12,2024-01-01 00:00:14,0
59.18,2024-01-01 00:00:15,0
59.22,2024-01-01 00:00:16,0
59.26,2024-01-01 00:00:17,0
59.25,2024-01-01 00:00:18,0
59.19,2024-01-01 00:00:19,0
59.14,2024-01-01 00:00:20,0
59.09,2024-01-01 00:00:21,0
59.08,2024-01-01 00:00:22,0
59.12,2024-01-01 00:00:23,0
59.19,2024-01-01 00:00:24,0
59.33,2024-01-01 00:00:25,0
59.5,2024-01-01 00:00:26,0
59.66,2024-01-01 00:00:27,0
59.8,2024-01-01 00:00:28,0
59.94,2024-01-01 00:00:29,0
60.03,2024-01-01 00:00:30,0
60.12,2024-01-01 00:00:31,0
60.21,2024-01-01 00:00:32,0
60.31,2024-01-01 00:00:33,0
60.42,2024-01-01 00:00:34,0
60.51,2024-01-01 00:00:35,0
60.63,2024-01-01 00:00:36,0
60.74,2024-01-01 00:00:37,0
60.83,2024-01-01 00:00:38,0
60.93,2024-01-01 00:00:39,0
61.02,2024-01-01 00:00:40,0
61.14,2024-01-01 00:00:41,0
61.25,2024-01-01 00:00:42,0
61.36,2024-01-01 00:00:43,0
61.48,2024-01-01 00:00:44,0
61.62,2024-01-01 00:00:45,0
61.77,2024-01-01 00:00:46,0
61.96,2024-01-01 00:00:47,0
62.16,2024-01-01 00:00:48,0
62.39,2024-01-01 00:00:49,0
62.63,2024-01-01 00:00:50,0
62.87,2024-01-01 00:00:51,0
63.13,2024-01-01 00:00:52,0
63.4,2024-01-01 00:00:53,0
63.68,2024-01-01 00:00:54,0
63.96,2024-01-01 00:00:55,0
64.24,2024-01-01 00:00:56,0
64.51,2024-01-01 00:00:57,0
64.75,2024-01-01 00:00:58,0
65.08,2024-01-01 00:00:59,0
65.42,2024-01-01 00:01:00,0
65.78,2024-01-01 00:01:01,0
66.18,2024-01-01 00:01:02,0
66.58,2024-01-01 00:01:03,0
67.0,2024-01-01 00:01:04,0
67.42,2024-01-01 00:01:05,0
67.93,2024-01-01 00:01:06,0
68.48,2024-01-01 00:01:07,0
69.02,2024-01-01 00:01:08,0
69.55,2024-01-01 00:01:09,0
70.05,2024-01-01 00:01:10,1
70.13,2024-01-01 00:01:11,1
70.23,2024-01-01 00:01:12,1
70.3,2024-01-01 00:01:13,1
70.33,2024-01-01 00:01:14,1
70.35,2024-01-01 00:01:15,1
70.33,2024-01-01 00:01:16,1
70.3,2024-01-01 00:01:17,1
70.28,2024-01-01 00:01:18,1
70.25,2024-01-01 00:01:19,1
70.2,2024-01-01 00:01:20,1
70.15,2024-01-01 00:01:21,1
70.08,2024-01-01 00:01:22,1
70.02,2024-01-01 00:01:23,1
69.95,2024-01-01 00:01:24,1
69.85,2024-01-01 00:01:25,1
69.75,2024-01-01 00:01:26,1
69.65,2024-01-01 00:01:27,1
69.53,2024-01-01 00:01:28,1
69.42,2024-01-01 00:01:29,1
69.3,2024-01-01 00:01:30,1
69.17,2024-01-01 00:01:31,1
69.03,2024-01-01 00:01:32,1
68.88,2024-01-01 00:01:33,1
68.73,2024-01-01 00:01:34,1
68.7,2024-01-01 00:01:35,1
68.53,2024-01-01 00:01:36,1
68.38,2024-01-01 00:01:37,1
68.25,2024-01-01 00:01:38,1
68.1,2024-01-01 00:01:39,1
67.97,2024-01-01 00:01:40,1
67.82,2024-01-01 00:01:41,1
67.67,2024-01-01 00:01:42,1
67.52,2024-01-01 00:01:43,1
67.33,2024-01-01 00:01:44,1
67.13,2024-01-01 00:01:45,1
66.9,2024-01-01 00:01:46,1
